arm,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
soft_uncalibrated,0.53,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-1.1333333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.55,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-1.1333333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.57,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-1.1333333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.59,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-1.1333333333333333,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.61,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-1.1666666666666667,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.63,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.65,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.67,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2333333333333334,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.69,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2333333333333334,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
soft_uncalibrated,0.71,30,0,30,0,0,0,1.0,,30,-1.0,-4.0,0.0,-1.2333333333333334,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_lead_time_20260802T185037Z.csv,evidence_calibration
